Date,Average,Ask,Bid,Last,TotalVolume
2015-04-30,231.66,237.15,236.84,237.07,114641.84
2015-04-29,226.44,227.27,227.21,227.25,60261.17
2015-04-28,227.12,226.35,226.02,226.27,80404.02
2015-04-27,220.74,233.87,233.51,233.8,119045.21
2015-04-26,220.36,219.56,219.48,219.54,102789.57
2015-04-25,230.45,228.06,227.9,228.07,44869.71
2015-04-24,233.31,231.68,231.49,231.59,69636.92
2015-04-23,235.63,236.01,235.9,236.42,43473.41
2015-04-22,236.1,234.35,234.15,234.37,78077.46
2015-04-21,226.84,233.67,233.48,233.68,84772.75
2015-04-20,224.5,224.71,224.55,224.68,59206.22
2015-04-19,225.3,223.16,223.0,223.09,49976.22
2015-04-18,223.76,224.58,224.39,224.59,43734.51
2015-04-17,225.76,223.51,223.37,223.47,73056.25
2015-04-16,227.68,229.96,229.78,229.9,88046.45
2015-04-15,221.76,222.16,222.02,222.17,75867.73
2015-04-14,221.75,217.64,217.36,217.48,130783.66
2015-04-13,234.44,223.38,223.14,223.14,99817.36
2015-04-12,237.5,236.8,236.72,236.78,37576.81
2015-04-11,236.73,236.66,236.47,236.57,52778.71
2015-04-10,239.65,235.26,235.11,235.22,96573.03
2015-04-09,244.73,243.91,243.53,243.7,68321.76
2015-04-08,251.09,246.61,246.44,246.46,97857.57
2015-04-07,255.37,255.55,255.27,255.46,51998.08
2015-04-06,258.69,256.82,256.49,256.68,69260.58
2015-04-05,256.46,258.26,258.09,258.23,51419.69
2015-04-04,254.62,255.11,255.0,255.03,35428.23
2015-04-03,254.32,254.92,254.72,254.92,70912.78
2015-04-02,248.77,252.57,252.34,252.62,85606.03
2015-04-01,244.38,247.14,246.93,247.04,69468.28
2015-03-31,246.72,246.86,246.46,246.56,64204.55
2015-03-30,245.19,247.65,247.3,247.44,77229.5
2015-03-29,246.67,243.34,242.89,243.12,68286.56
2015-03-28,252.28,253.76,253.51,253.56,49306.23
2015-03-27,248.48,248.99,248.91,248.95,53326.28
2015-03-26,249.69,249.01,248.84,248.98,76767.29
2015-03-25,245.46,246.83,246.5,246.77,119638.14
2015-03-24,257.98,248.97,248.85,248.92,138226.97
2015-03-23,267.98,268.15,267.98,268.09,68261.36
2015-03-22,262.57,268.88,268.55,268.84,47951.33
2015-03-21,260.93,260.74,260.58,260.61,46225.36
2015-03-20,261.7,262.88,262.48,262.74,50039.41
2015-03-19,257.63,261.77,261.65,261.76,176683.72
2015-03-18,275.74,255.59,255.36,255.5,186557.71
2015-03-17,290.68,285.71,285.49,285.67,59674.36
2015-03-16,291.43,291.76,291.61,291.73,59509.65
2015-03-15,284.95,286.87,286.67,286.77,35168.8
