Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-08-11,258.478,268.899,257.0,268.899,5348.86250847,1396006.57719,260.991299548
2015-08-10,259.599,263.685,256.0,258.3,4378.56906683,1138612.54064,260.04215607
2015-08-09,252.833,264.689,252.132,259.6,4020.52215482,1043671.16862,259.585976258
2015-08-08,274.0,274.604,251.96,253.265,10737.3176744,2846179.98041,265.073649372
2015-08-07,275.5,275.876,269.0,273.794,6556.78018621,1793168.88738,273.483148199
2015-08-06,278.0,279.0,272.995,275.484,4797.37301733,1324558.95726,276.100889481
2015-08-05,280.571,281.879,276.0,278.0,4691.68964339,1306242.548,278.416231098
2015-08-04,278.17,282.233,276.512,280.571,4964.27210733,1390071.63565,280.015197716
2015-08-03,278.998,282.987,277.0,278.078,5335.26816066,1492905.67846,279.818302192
2015-08-02,277.939,279.9,275.101,279.482,3394.95308751,942827.40455,277.714413203
2015-08-01,280.701,280.825,275.6,277.96,3501.21848161,971878.008385,277.582793959
2015-07-31,282.178,284.2,276.902,280.656,5620.3739054,1572480.72102,279.782225789
2015-07-30,283.482,286.0,281.404,283.539,4345.80698026,1231496.76221,283.375853508
2015-07-29,287.732,288.827,282.012,283.482,4107.30612511,1172225.78458,285.400150092
2015-07-28,285.847,290.0,284.609,287.74,5280.55788519,1515823.86674,287.05752303
2015-07-27,286.547,288.89,280.5,285.77,6341.92072985,1803651.85914,284.4015143
2015-07-26,283.601,289.0,282.5,285.75,3169.1494261,906643.776678,286.084262614
2015-07-25,285.0,287.235,280.3,283.5,4656.27843368,1323859.68027,284.317121308
2015-07-24,272.153,288.803,270.468,284.323,10601.7688876,2970184.68585,280.159350515
2015-07-23,272.338,274.0,270.0,272.153,4216.45941438,1150469.74824,272.852086354
2015-07-22,270.05,275.0,268.0,272.338,4867.1762883,1324755.20134,272.181470913
2015-07-21,274.999,280.0,268.931,270.05,6393.04089416,1756330.5539,274.725374509
2015-07-20,266.469,275.0,265.5,274.002,5532.95465272,1498577.54624,270.845803066
2015-07-19,267.583,270.503,263.196,266.855,3590.74481282,960652.662377,267.535765546
2015-07-18,274.188,280.204,150.002,267.583,11877.4034502,3127342.74076,263.301886971
2015-07-17,276.619,280.0,269.0,274.485,7271.70994042,1990750.13598,273.76643902
2015-07-16,279.645,286.977,271.0,276.619,10791.0371554,2999632.05998,277.97439827
2015-07-15,283.2,289.441,277.031,279.0,6224.49228622,1771821.56604,284.653186889
2015-07-14,287.0,292.963,282.001,283.2,7087.3057893,2026677.64589,285.958826407
2015-07-13,284.615,288.979,277.011,285.8,2870.25426889,813988.285573,283.594486522
2015-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-11,281.166,291.0,278.891,288.333,2876.06821112,818537.512942,284.602955443
2015-07-10,264.347,298.999,263.2,281.498,37708.6739362,10639306.2801,282.144800374
2015-07-09,267.258,271.0,263.11,264.347,14625.1169422,3919911.89244,268.026020437
2015-07-08,262.781,271.0,261.64,267.288,11588.3035458,3082818.47952,266.028454238
2015-07-07,265.375,267.127,260.011,262.5,9153.8923577,2404124.69859,262.634145634
2015-07-06,268.408,272.994,263.07,266.138,14135.0508042,3792479.25195,268.303192149
2015-07-05,259.997,270.0,253.8,268.284,9850.28500211,2598426.78588,263.792041075
2015-07-04,253.906,260.286,251.0,259.993,5407.05609429,1379849.12636,255.194157838
2015-07-03,254.001,255.987,252.501,253.906,5743.90928856,1457745.00741,253.789698648
2015-07-02,254.957,258.4,253.5,254.001,4192.27961754,1070677.46247,255.392664648
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-24,244.05,245.247,243.0,243.237,887.42254411,216498.793082,243.963593802
2015-06-23,247.699,247.989,242.186,244.038,4506.95354442,1105005.96419,245.17802398
2015-06-22,244.412,249.4,243.3,247.7,6415.99517479,1577634.39875,245.890833109
2015-06-21,245.157,246.987,240.567,244.298,4350.05636148,1062794.39385,244.317384774
2015-06-20,243.737,250.888,240.0,245.142,6671.91434522,1627779.64003,243.974900726
2015-06-19,248.069,250.0,242.0,243.815,7225.0068071,1776618.65363,245.898543913
2015-06-18,248.389,252.0,244.01,248.07,7608.54846851,1888818.67334,248.249542099
2015-06-17,250.007,257.038,244.9,248.427,15394.9876141,3862917.28564,250.920454272
2015-06-16,237.0,253.381,236.106,250.125,14770.3469926,3608605.58864,244.314205376
2015-06-15,234.486,239.757,234.3,237.0,8289.32855282,1963942.91617,236.924245873
2015-06-14,233.575,236.0,233.0,234.419,5855.64592118,1373494.09429,234.558938976
2015-06-13,231.2,234.0,230.22,233.608,4218.79046951,978225.677601,231.873491862
2015-06-12,230.795,233.1,230.3,231.2,5738.40693781,1331253.40363,231.990065895
2015-06-11,230.343,231.81,229.791,230.795,5894.66526833,1360352.81307,230.77694002
2015-06-10,230.144,232.5,229.196,230.44,6025.51303715,1388072.397,230.36584411
2015-06-09,228.933,232.546,227.594,229.95,7237.43774087,1667607.85582,230.414121064
2015-06-08,225.242,230.901,224.66,228.687,8234.21016985,1874260.02207,227.618676644
2015-06-07,228.0,228.4,224.893,225.244,3700.54137337,838416.856723,226.565999979
2015-06-06,226.69,228.4,225.501,227.764,4217.63492674,958006.198058,227.142987646
2015-06-05,225.952,228.0,224.121,226.69,7140.63321619,1613986.36523,226.028465035
2015-06-04,227.462,228.699,224.41,225.921,6759.88040085,1534835.59742,227.050703031
2015-06-03,226.927,229.362,226.0,227.5,8207.82403489,1869580.24684,227.780254412
2015-06-02,223.706,229.67,223.705,226.644,10102.7488732,2289101.97736,226.582092269
2015-06-01,231.199,232.835,222.003,223.732,9066.66903077,2069857.76768,228.293076614
2015-05-31,235.089,235.795,230.0,231.044,5392.42505452,1255723.25343,232.868002937
2015-05-30,237.979,238.0,232.865,235.09,3503.6222724,825072.801962,235.491368023
2015-05-29,239.022,240.0,236.967,237.979,5814.11356906,1384129.52031,238.063722676
2015-05-28,238.988,240.124,237.663,239.008,4497.61166158,1073765.63208,238.741294908
2015-05-27,238.03,240.1,237.528,239.0,7521.90933162,1797543.92302,238.974420426
2015-05-26,238.3,240.338,236.209,238.11,6514.83849562,1553333.90353,238.430147512
2015-05-25,242.032,243.216,236.667,238.299,5077.62721052,1215559.22056,239.395128899
2015-05-24,239.841,244.0,239.257,242.034,3664.62980008,884333.045502,241.315792794
2015-05-23,240.6,243.05,239.11,239.842,5406.52446228,1302687.74033,240.947349711
2015-05-22,235.407,245.0,235.0,240.6,9058.64704757,2153916.0588,237.77458681
2015-05-21,234.449,237.299,233.29,235.59,5924.71593455,1395326.65688,235.509461093
2015-05-20,232.753,235.99,231.5,234.435,5621.35085823,1314253.32722,233.796708365
2015-05-19,232.602,234.848,231.82,232.861,6799.50306724,1586116.49106,233.269472103
2015-05-18,236.26,237.818,231.585,233.627,5912.31636147,1391930.81443,235.429014506
2015-05-17,236.416,238.104,235.04,236.266,3773.48814279,893595.229499,236.808808107
2015-05-16,237.316,238.345,235.057,236.41,5059.76022728,1198983.06571,236.964403817
2015-05-15,236.516,239.34,235.0,237.455,5392.53268193,1280458.19498,237.450242864
2015-05-14,237.112,239.077,233.354,236.516,7430.81435438,1758239.00833,236.614578764
2015-05-13,240.519,243.7,235.131,237.024,9195.68994975,2217845.05909,241.183105477
2015-05-12,242.019,243.75,238.79,240.333,7151.55551679,1725240.13049,241.239843058
2015-05-11,240.458,243.844,239.7,242.029,6052.23452555,1461533.79236,241.48664203
2015-05-10,241.461,245.196,238.75,240.391,5369.60198259,1296301.46897,241.414814948
2015-05-09,242.75,247.999,238.86,241.461,6259.55531195,1516404.78506,242.254395
2015-05-08,236.945,245.0,235.991,242.786,9264.04454869,2233974.92522,241.144665646
2015-05-07,231.678,239.9,230.5,236.945,9242.63980706,2165973.12539,234.34572488
2015-05-06,237.99,239.0,230.1,232.9,8215.9143715,1927716.16273,234.631968588
2015-05-05,238.398,238.998,232.722,238.0,5898.90422577,1392927.83092,236.133318598
2015-05-04,241.0,243.417,237.15,238.492,6425.85533291,1541620.05403,239.908926385
2015-05-03,235.593,243.989,234.33,241.0,6642.9063767,1598713.08884,240.664702795
2015-05-02,232.724,236.765,232.6,235.593,4418.71732274,1037051.92079,234.6952396
2015-05-01,237.486,240.9,232.6,232.777,6928.95510571,1639178.10962,236.569307292
2015-04-30,227.471,244.0,226.222,237.719,13535.3637994,3182314.38291,235.111108211
2015-04-29,228.642,230.052,225.04,227.6,7129.77030244,1620465.74923,227.281620655
2015-04-28,231.534,234.52,224.0,228.641,10960.4266765,2498617.07495,227.96713565
2015-04-27,217.0,269.254,215.364,231.33,35714.6005949,8175718.20509,228.918091451
2015-04-26,224.215,225.15,210.86,217.0,9518.13132414,2061513.53815,216.588053679
2015-04-25,228.563,230.035,224.0,224.215,5665.73209167,1283049.25659,226.457805598
2015-04-24,233.0,233.89,226.872,228.809,6847.69747096,1570776.98901,229.387614694
2015-04-23,231.416,234.167,230.123,233.0,5834.09198674,1354745.97594,232.211967007
2015-04-22,231.909,236.741,230.018,232.488,10665.390598,2488886.46122,233.361023054
2015-04-21,222.847,233.0,220.0,231.802,10945.731808,2460855.70031,224.823314098
2015-04-20,220.426,224.842,219.52,223.02,6055.2895835,1344245.4208,221.995232807
2015-04-19,221.219,225.0,219.462,220.496,4453.95076174,991891.820411,222.699323246
2015-04-18,221.195,222.981,218.058,220.639,4849.69983843,1071352.77819,220.911152006
2015-04-17,226.57,227.273,219.432,221.95,6660.96985651,1481727.55456,222.449220831
2015-04-16,222.68,228.31,222.366,227.0,8759.31934062,1970781.69311,224.992561234
2015-04-15,216.951,223.479,216.07,222.345,9126.60967816,2005836.36511,219.778914169
2015-04-14,220.366,222.9,214.0,217.001,11570.5153318,2516991.72989,217.5349721
2015-04-13,232.636,234.41,219.287,220.338,10031.7741441,2277541.22638,227.032745521
2015-04-12,234.1,234.999,227.055,232.969,5133.34822554,1191523.49807,232.114293775
2015-04-11,232.571,235.49,228.1,234.07,5237.78542447,1215055.29485,231.978822419
2015-04-10,241.673,242.2,228.904,232.5,8354.62830794,1957353.96084,234.283787224
2015-04-09,242.989,244.429,235.616,241.674,8579.00729459,2064465.00763,240.641479456
2015-04-08,249.1,250.51,241.0,243.132,7462.55313295,1825765.32685,244.656928309
2015-04-07,250.0,251.55,243.5,249.1,9550.70228472,2363813.00062,247.501485247
2015-04-06,257.015,258.841,248.0,250.0,8483.10999881,2146480.77059,253.029934881
2015-04-05,250.126,257.476,247.0,256.255,5500.57165102,1387234.09836,252.198168913
2015-04-04,250.749,252.003,246.61,250.126,4275.13659911,1065020.24959,249.119583645
2015-04-03,248.99,253.0,248.0,250.75,7542.28563058,1885974.29787,250.053417525
2015-04-02,243.188,253.3,238.972,249.0,10421.5025047,2565369.94029,246.161236264
2015-04-01,241.11,244.974,236.914,243.184,7714.43202345,1856745.30266,240.684641075
2015-03-31,245.067,247.982,238.0,241.06,10017.1120234,2430230.67092,242.607915859
2015-03-30,240.072,247.5,234.083,245.067,10398.2013611,2519175.28372,242.270292356
2015-03-29,250.0,251.0,236.0,240.012,8415.12360385,2033323.21835,241.627255174
2015-03-28,244.932,252.469,244.252,249.75,7033.05104803,1757840.4611,249.939954806
2015-03-27,244.998,248.213,242.942,244.933,6051.09888925,1487193.28011,245.772430318
2015-03-26,246.154,252.94,241.0,244.998,10644.0586432,2643870.6498,248.389335162
2015-03-25,245.633,249.785,235.42,246.768,12677.781466,3086426.53069,243.451627477
2015-03-24,263.339,265.269,243.293,246.189,13060.9548265,3296130.10503,252.365171522
2015-03-23,266.361,269.9,256.6,263.36,6952.80944725,1840609.97015,264.728953687
2015-03-22,257.682,270.0,257.433,266.361,6955.18980398,1829658.44951,263.0637698
2015-03-21,257.001,266.0,251.987,257.688,6732.72010536,1730600.93861,257.043351205
2015-03-20,256.4,261.0,254.0,257.001,6811.48701641,1748771.75074,256.738616182
2015-03-19,251.356,260.0,243.0,256.154,11566.1049532,2927830.69453,253.138866228
2015-03-18,281.38,282.589,244.0,251.5,20321.5331346,5339778.88403,262.764568434
2015-03-17,287.527,289.322,279.774,282.14,6151.80358047,1753485.35835,285.035979354
2015-03-16,281.112,291.0,280.368,287.527,8417.05216425,2422114.37252,287.762785029
2015-03-15,276.657,282.2,274.15,281.899,4732.50850066,1319194.30277,278.751597084
2015-03-14,282.678,283.457,272.25,276.915,10530.379946,2927688.94619,278.023106592
2015-03-13,291.0,291.714,282.667,282.678,8892.39185936,2559233.17405,287.800314531
2015-03-12,294.116,296.0,290.0,290.998,6313.23738832,1842514.22791,291.849349958
2015-03-11,287.82,295.445,285.013,294.49,10803.0055833,3143341.65028,290.969177609
2015-03-10,285.999,299.0,285.0,287.602,14643.4176474,4260013.82106,290.916637334
2015-03-09,271.624,294.507,270.716,285.999,14532.0250253,4102005.82229,282.273517637
2015-03-08,273.889,276.537,270.0,272.1,4319.66735259,1176649.79599,272.393612735
2015-03-07,269.879,275.024,267.021,273.875,4351.08577659,1181199.29314,271.472306866
2015-03-06,271.48,276.0,266.01,269.879,7059.56972755,1904224.22409,269.736584181
2015-03-05,268.001,276.034,259.0,272.247,10609.4883265,2838081.05233,267.504045907
2015-03-04,277.306,280.448,261.0,268.651,13276.5596965,3631415.7681,273.520840572
2015-03-03,268.48,285.0,262.001,277.263,16849.1075901,4550039.04255,270.046292851
2015-03-02,252.682,269.98,247.0,268.552,13306.7913534,3443757.90713,258.797016928
2015-03-01,248.0,255.913,238.0,253.389,8500.08463977,2097567.9292,246.770240308
2015-02-28,246.79,249.679,243.68,248.0,4990.92879994,1232453.4842,246.938702915
2015-02-27,230.8,254.293,230.54,246.303,18577.1785026,4555480.97144,245.219206501
2015-02-26,231.09,232.198,228.0,231.002,5943.24978659,1368950.16445,230.336972802
2015-02-25,232.1,233.0,228.782,231.09,5644.83848115,1304581.47621,231.110505741
2015-02-24,232.979,233.988,227.776,232.1,7723.51552253,1786173.23855,231.26427769
2015-02-23,230.229,234.0,225.0,232.866,6293.8537528,1446025.94498,229.7520727
2015-02-22,237.2,239.0,224.721,230.229,6829.28897755,1591477.42518,233.037059995
2015-02-21,238.007,239.024,235.753,237.2,4971.8975251,1181080.32825,237.551221095
2015-02-20,235.3,241.493,231.12,237.893,12402.6178043,2942562.32292,237.253325818
2015-02-19,233.177,239.0,231.06,235.3,8005.70868395,1879984.16305,234.830448779
2015-02-18,239.015,243.0,228.01,233.213,8983.21312664,2105087.66005,234.335713778
2015-02-17,230.306,243.791,229.865,239.986,9384.59839548,2224671.71316,237.055611696
2015-02-16,232.0,237.997,224.266,231.605,12023.2283685,2792675.34081,232.273334184
2015-02-15,256.64,265.011,220.0,231.537,24635.3514376,5972223.81265,242.42494887
2015-02-14,232.653,260.0,231.425,256.64,19624.9948287,4833062.50418,246.270765744
2015-02-13,218.256,235.987,216.613,232.653,20103.7169969,4612761.54806,229.448193524
2015-02-12,216.749,219.0,214.39,218.3,5774.9725454,1251897.0839,216.779746407
2015-02-11,218.0,221.0,214.753,216.8,8621.86893117,1880541.5967,218.112988229
